Summary,Description,Issue Type,Priority,Component/s,Status
authentication failed attempting fetch command,receiving following error attempting fetch commandgit c diffmnemonicprefixfalse c corequotepathfalse nooptionallocks fetch prune notags originfatal authentication failed configured account using personal tokenwhen clicking remote option able access depository still fetch command fails,bug,High,branch,Needs Triage
oauth token keeps expiring,refreshed oauth token yesterday need today navigating refresh facility major pain keep time incidentally refresh page automatically opens browser usually says something likeh site cant reachedlocalhost refused connecttry checking connection checking proxy firewallchromeerrorchromewebdatabuttonserrconnectionrefused,bug,Low,General,Needs Triage
unable start sourcetree updating older version,updating installation sourcetree sourcetree enterprise edition version result able open software splashscreen appears suddenly disappear sourcetree start uninstalled installed without clearing user appdata local appdata run issueserrors sourcetree logs codejavaerror sourcetreecompositionvsmefnetcompositionexceptionhelper log compositionexception errors occurred discoveryerror sourcetreecompositionvsmefnetcompositionexceptionhelper log aggregate exceptionsystemaggregateexception une ou plusieurs erreurs se sont produites microsoftvisualstudiocompositionpartdiscoveryexception reflectiontypeloadexception enumerating types assembly cprogram files xatlassiansourcetreesourcetreehostbitbucketdll results incomplete systemreflectionreflectiontypeloadexception impossible de charger un ou plusieurs des types requis extrayez la proprit loaderexceptions pour plus dinformations systemreflectionruntimemodulegettypesruntimemodule module systemreflectionassemblygettypes microsoftvisualstudiocompositionpartdiscoverycdisplayclasscreateassemblydiscoveryblockchainbassembly fin de la trace de la pile dexception interne fin de la trace de la pile dexception interne exception interne microsoftvisualstudiocompositionpartdiscoveryexception reflectiontypeloadexception enumerating types assembly cprogram files xatlassiansourcetreesourcetreehostbitbucketdll results incomplete systemreflectionreflectiontypeloadexception impossible de charger un ou plusieurs des types requis extrayez la proprit loaderexceptions pour plus dinformations systemreflectionruntimemodulegettypesruntimemodule module systemreflectionassemblygettypes microsoftvisualstudiocompositionpartdiscoverycdisplayclasscreateassemblydiscoveryblockchainbassembly fin de la trace de la pile dexception interne error sourcetreecompositionvsmefnetcompositionexceptionhelper log partdiscoveryexceptionmicrosoftvisualstudiocompositionpartdiscoveryexception reflectiontypeloadexception enumerating types assembly cprogram files xatlassiansourcetreesourcetreehostbitbucketdll results incomplete systemreflectionreflectiontypeloadexception impossible de charger un ou plusieurs des types requis extrayez la proprit loaderexceptions pour plus dinformations systemreflectionruntimemodulegettypesruntimemodule module systemreflectionassemblygettypes microsoftvisualstudiocompositionpartdiscoverycdisplayclasscreateassemblydiscoveryblockchainbassembly fin de la trace de la pile dexception interne error sourcetreecompositionvsmefnetcompositionexceptionhelper log typeloadexceptionsystemtypeloadexception impossible de charger le type bitbuckitnetapimodeltwozeroworkspace partir de lassembly bitbuckitnetapi version cultureneutral publickeytokennullerror sourcetreecompositionvsmefnetcompositionexceptionhelper log reflectiontypeloadexceptionsystemreflectionreflectiontypeloadexception impossible de charger un ou plusieurs des types requis extrayez la proprit loaderexceptions pour plus dinformations systemreflectionruntimemodulegettypesruntimemodule module systemreflectionassemblygettypes microsoftvisualstudiocompositionpartdiscoverycdisplayclasscreateassemblydiscoveryblockchainbassembly acode,bug,Medium,General,Needs Triage
keesp asking github login,oauth token issued application keeps blocking push github asking login login dialog work keep going tools authentication edit resiisue oauth token every commit annoying,bug,Medium,Git,Needs Triage
dark theme history changed files displayed correctly,changed files history screen displayed color scheme makes hard read dark theme activethe current file selected one affected seen history file status screen unstaged files staged files panels stash screen wellwhy annoying due reading path file common practice way impossible without mousing,bug,Low,UX,Needs Triage
unable know time pm,use french version column date format history show time h format without pm rather windows preferences using h format im unable easily know commit time pm,bug,Low,General,Needs Triage
fix git buffer overflow cve cve,multiple products security advisory git buffer overflow cve cve versions sourcetree mac windows vulnerable new version msi,bug,High,General,Closed
failed start windows update,cannot start sourcetree anymore getting error logcodejavaerror sourcetreeapp log failed startsystemmanagementmanagementexception invalid class systemmanagementmanagementexceptionthrowwithextendedinfomanagementstatus errorcode systemmanagementmanagementobjectcollectionmanagementobjectenumeratormovenext sourcetreeuithemewpfutilitiesnativehelpergetwindowsversion sourcetreeuithemewpfcontrolspermonitordpiwindowonsourceinitializedeventargs e systemwindowswindowcreatesourcewindowboolean duringshow systemwindowswindowshowhelperobject booleanbox systemwindowswindowshowdialog sourcetreeuiwelcomewizardmanagerrun sourcetreeuionboardingmanagerrun sourcetreeapprootonboard sourcetreeapprootonboardifrequired sourcetreeapprootonstartupdmovenext coderemoving folders reinstalling doesnt help,bug,High,General,Closed
history view column sizes madness,windows h screen size sometimes end wide description field dateauthorcommit end outside visible window impossible get three columns take needed space right leave rest description people probably would wantno amount doubleclicking dragging column headings let achieve ends like thisimagepngdoubleclicking left border date gives thisimagepngok doubleclick border date author et voilimagepngdoubleclick yet border author commitimagepngok maybe doubleclick right border commit headerimagepngback started lets drag descriptiondate border insteadimagepngmaybe scroll left try adjustimagepngand onesimagepng author wide lets scroll back left try fixing thatimagepngso far goodimagepngbut commit way wide lets adjust itwe need scroll right drag end borderimagepngyep yep dateauthorcommit rightonly thing left fix widen description field max available keeping three current size im trying drag descriptiondate border bam moving one pixel reverts thisimagepngback started top resets random ways every time restart andor switch repositories see srctreewin,bug,High,UX,Needs Triage
upadate embedded git binary create new release,according security advisory multiple products security advisory git buffer overflow cve cve sourcetree updated version release switch external updated git version mitigation,bug,High,Git,Closed
